name,type,flavors,positive_effects,negative_effects,ailment,search
Azure Haze,hybrid,"Sweet, Berry, Earthy","Relaxed, Hungry, Happy, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Azure Haze,Relaxed, Hungry, Happy, Uplifted,Sweet, Berry, Earthy,Depression, Insomnia, Pain, Stress, Lack of Appetite"
B-52,indica,"Earthy, Sweet, Woody","Relaxed, Euphoric, Energetic, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Headaches","B-52,Relaxed, Euphoric, Energetic, Focused,Earthy, Sweet, Woody,Depression, Insomnia, Stress, Lack of Appetite, Headaches"
B-Witched,hybrid,"Earthy, Sweet, Chestnut","Relaxed, Hungry, Euphoric, Happy, Sleepy",Not Available,"Insomnia, Stress, Lack of Appetite, Headaches, Muscle Spasms","B-Witched,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Sweet, Chestnut,Insomnia, Stress, Lack of Appetite, Headaches, Muscle Spasms"
B.B. King,indica,"Berry, Blueberry, Lemon","Relaxed, Happy, Uplifted, Sleepy, Giggly",Not Available,"Depression, Insomnia, Pain, Nausea, Muscle Spasms","B.B. King,Relaxed, Happy, Uplifted, Sleepy, Giggly,Berry, Blueberry, Lemon,Depression, Insomnia, Pain, Nausea, Muscle Spasms"
B4,hybrid,"Flowery, Minty, Earthy","Relaxed, Euphoric, Happy, Uplifted, Giggly",Not Available,"Depression, Pain, Stress, Cramps","B4,Relaxed, Euphoric, Happy, Uplifted, Giggly,Flowery, Minty, Earthy,Depression, Pain, Stress, Cramps"
BC Big Bud,hybrid,"Skunk, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","BC Big Bud,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Skunk, Earthy, Sweet,Depression, Insomnia, Pain, Stress, Lack of Appetite"
BC Roadkill,hybrid,"Skunk, Diesel, Lemon","Euphoric, Happy, Creative, Uplifted, Aroused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Fatigue","BC Roadkill,Euphoric, Happy, Creative, Uplifted, Aroused,Skunk, Diesel, Lemon,Depression, Pain, Stress, Nausea, Fatigue"
BC Sweet Tooth,indica,"Sweet, Honey, Tree Fruit","Relaxed, Happy, Creative, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headache, Inflammation","BC Sweet Tooth,Relaxed, Happy, Creative, Uplifted, Sleepy,Sweet, Honey, Tree Fruit,Insomnia, Pain, Stress, Lack of Appetite, Headache, Inflammation"
BOG Bubble,hybrid,"Flowery, Berry, Earthy","Relaxed, Hungry, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Cramps","BOG Bubble,Relaxed, Hungry, Happy, Creative, Uplifted,Flowery, Berry, Earthy,Depression, Insomnia, Pain, Stress, Cramps"
BSC,hybrid,"Earthy, Pungent, Woody","Euphoric, Happy, Creative, Uplifted, Giggly",Dry Mouth,"Pain, Stress, Cramps, Nausea, Headaches","BSC,Euphoric, Happy, Creative, Uplifted, Giggly,Earthy, Pungent, Woody,Pain, Stress, Cramps, Nausea, Headaches"
Bakerstreet,indica,"Earthy, Sweet, Diesel","Relaxed, Hungry, Euphoric, Happy, Giggly","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headaches","Bakerstreet,Relaxed, Hungry, Euphoric, Happy, Giggly,Earthy, Sweet, Diesel,Insomnia, Pain, Stress, Lack of Appetite, Headaches"
Balmoral,hybrid,"Chemical, Earthy, Pine","Relaxed, Happy, Energetic, Talkative","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Headaches, Inflammation","Balmoral,Relaxed, Happy, Energetic, Talkative,Chemical, Earthy, Pine,Depression, Pain, Stress, Headaches, Inflammation"
Banana Candy,indica,"Tree Fruit, Flowery, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Muscle Spasms","Banana Candy,Relaxed, Euphoric, Happy, Creative, Uplifted,Tree Fruit, Flowery, Earthy,Depression, Insomnia, Pain, Stress, Muscle Spasms"
Banana Diesel,hybrid,"Sweet, Diesel, Earthy","Relaxed, Euphoric, Happy, Uplifted, Tingly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches","Banana Diesel,Relaxed, Euphoric, Happy, Uplifted, Tingly,Sweet, Diesel, Earthy,Depression, Pain, Stress, Headache, Fatigue, Headaches"
Banana Kush,hybrid,"Sweet, Tropical, Tree Fruit","Relaxed, Happy, Creative, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Banana Kush,Relaxed, Happy, Creative, Uplifted, Focused,Sweet, Tropical, Tree Fruit,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Banana OG,hybrid,"Sweet, Earthy, Flowery","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headaches","Banana OG,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Earthy, Flowery,Depression, Insomnia, Pain, Stress, Headaches"
Banana Peel,hybrid,"Sweet, Tree Fruit, Pear","Relaxed, Euphoric, Happy, Creative, Uplifted",Not Available,"Depression, Pain, Stress, Fatigue, Headaches","Banana Peel,Relaxed, Euphoric, Happy, Creative, Uplifted,Sweet, Tree Fruit, Pear,Depression, Pain, Stress, Fatigue, Headaches"
Bananas,hybrid,"Tropical, Tree Fruit, Chemical","Relaxed, Hungry, Happy, Uplifted, Focused",Not Available,"Depression, Pain, Stress, Lack of Appetite, Nausea","Bananas,Relaxed, Hungry, Happy, Uplifted, Focused,Tropical, Tree Fruit, Chemical,Depression, Pain, Stress, Lack of Appetite, Nausea"
Bandana,hybrid,"Earthy, Pungent, Woody","Relaxed, Euphoric, Happy, Creative, Tingly",Not Available,"Depression, Pain, Stress, Fatigue, Headaches","Bandana,Relaxed, Euphoric, Happy, Creative, Tingly,Earthy, Pungent, Woody,Depression, Pain, Stress, Fatigue, Headaches"
Bango,hybrid,"Earthy, Lime, Pungent","Euphoric, Creative, Energetic, Focused, Giggly",Not Available,,"Bango,Euphoric, Creative, Energetic, Focused, Giggly,Earthy, Lime, Pungent,"
Barbara Bud,indica,"Earthy, Spicy/Herbal, Woody","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Barbara Bud,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Spicy/Herbal, Woody,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Batman OG,indica,"Skunk, Sweet, Tropical","Relaxed, Happy, Creative, Sleepy, Giggly",Not Available,"Depression, Insomnia, Lack of Appetite, Eye Pressure","Batman OG,Relaxed, Happy, Creative, Sleepy, Giggly,Skunk, Sweet, Tropical,Depression, Insomnia, Lack of Appetite, Eye Pressure"
Bay 11,sativa,"Earthy, Sweet, Citrus","Relaxed, Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Inflammation, Spasticity","Bay 11,Relaxed, Happy, Creative, Energetic, Uplifted,Earthy, Sweet, Citrus,Depression, Pain, Stress, Inflammation, Spasticity"
Bay Dream,sativa,"Citrus, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headaches","Bay Dream,Relaxed, Hungry, Euphoric, Happy, Focused,Citrus, Earthy, Pungent,Depression, Pain, Stress, Lack of Appetite, Headaches"
Beastmode 2.0,indica,"Sweet, Berry, Citrus","Relaxed, Euphoric, Happy, Uplifted, Sleepy",Not Available,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Beastmode 2.0,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Berry, Citrus,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Beastmode OG,hybrid,"Earthy, Apricot, Cheese","Relaxed, Euphoric, Happy, Uplifted, Giggly","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Fatigue","Beastmode OG,Relaxed, Euphoric, Happy, Uplifted, Giggly,Earthy, Apricot, Cheese,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Bedford Glue,hybrid,"Earthy, Flowery, Grape","Relaxed, Euphoric, Happy, Energetic, Giggly",Not Available,"Pain, Lack of Appetite, Inflammation, Seizures, Muscle Spasms","Bedford Glue,Relaxed, Euphoric, Happy, Energetic, Giggly,Earthy, Flowery, Grape,Pain, Lack of Appetite, Inflammation, Seizures, Muscle Spasms"
Bedica,indica,"Chemical, Spicy/Herbal, Nutty","Relaxed, Hungry, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Lack of Appetite, Headache, Headaches, Inflammation","Bedica,Relaxed, Hungry, Happy, Tingly, Sleepy,Chemical, Spicy/Herbal, Nutty,Insomnia, Pain, Lack of Appetite, Headache, Headaches, Inflammation"
Bediol,sativa,"Citrus, Pine, Lemon","Relaxed, Happy, Creative, Energetic, Uplifted",Not Available,"Pain, Stress, Nausea, Fatigue, Inflammation","Bediol,Relaxed, Happy, Creative, Energetic, Uplifted,Citrus, Pine, Lemon,Pain, Stress, Nausea, Fatigue, Inflammation"
Bell Ringer,indica,"Citrus, Pungent, Sweet","Relaxed, Hungry, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Lack of Appetite, Nausea","Bell Ringer,Relaxed, Hungry, Sleepy,Citrus, Pungent, Sweet,Depression, Insomnia, Pain, Lack of Appetite, Nausea"
Belladonna,hybrid,"Peach, Earthy, Butter","Euphoric, Happy, Uplifted, Sleepy, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Fatigue","Belladonna,Euphoric, Happy, Uplifted, Sleepy, Giggly,Peach, Earthy, Butter,Depression, Insomnia, Pain, Stress, Fatigue"
Berkeley,sativa,"Sweet, Earthy, Pine","Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache","Berkeley,Happy, Creative, Energetic, Uplifted,Sweet, Earthy, Pine,Depression, Pain, Stress, Lack of Appetite, Nausea, Headache"
Berry Bomb,hybrid,"Berry, Sweet, Earthy","Relaxed, Hungry, Euphoric, Happy, Creative","Dizzy, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Stress, Lack of Appetite, Headache, Headaches","Berry Bomb,Relaxed, Hungry, Euphoric, Happy, Creative,Berry, Sweet, Earthy,Depression, Insomnia, Stress, Lack of Appetite, Headache, Headaches"
Berry Noir,indica,"Berry, Earthy, Ammonia","Relaxed, Hungry, Euphoric, Sleepy, Focused",Not Available,"Insomnia, Stress, Nausea, Inflammation, Muscle Spasms","Berry Noir,Relaxed, Hungry, Euphoric, Sleepy, Focused,Berry, Earthy, Ammonia,Insomnia, Stress, Nausea, Inflammation, Muscle Spasms"
Berry OG,hybrid,"Berry, Apple, Sweet","Relaxed, Euphoric, Happy, Creative, Sleepy","Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea","Berry OG,Relaxed, Euphoric, Happy, Creative, Sleepy,Berry, Apple, Sweet,Depression, Insomnia, Pain, Stress, Nausea"
Berry White,indica,"Berry, Sweet, Blueberry","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Fatigue","Berry White,Relaxed, Euphoric, Happy, Creative, Uplifted,Berry, Sweet, Blueberry,Depression, Insomnia, Pain, Stress, Fatigue"
Bertberry Cheesecake,sativa,"Blueberry, Cheese, Berry","Euphoric, Creative, Energetic, Uplifted, Focused",Not Available,"Depression, Insomnia, Stress, Cramps, Headaches","Bertberry Cheesecake,Euphoric, Creative, Energetic, Uplifted, Focused,Blueberry, Cheese, Berry,Depression, Insomnia, Stress, Cramps, Headaches"
Bettie Page,hybrid,"Cheese, Diesel, Pungent","Relaxed, Happy, Creative, Energetic, Uplifted",Dizzy,"Depression, Insomnia, Pain, Stress, Fatigue","Bettie Page,Relaxed, Happy, Creative, Energetic, Uplifted,Cheese, Diesel, Pungent,Depression, Insomnia, Pain, Stress, Fatigue"
Bhang 007 OG,indica,"Earthy, Pine, Woody","Relaxed, Hungry, Tingly, Sleepy",Anxious,"Insomnia, Pain, Nausea, Fatigue, Headaches","Bhang 007 OG,Relaxed, Hungry, Tingly, Sleepy,Earthy, Pine, Woody,Insomnia, Pain, Nausea, Fatigue, Headaches"
Bhang Afgoo,indica,"Earthy, Chemical, Diesel","Relaxed, Creative, Tingly, Aroused",Dry Mouth,"Depression, Insomnia, Pain, Lack of Appetite, Fatigue","Bhang Afgoo,Relaxed, Creative, Tingly, Aroused,Earthy, Chemical, Diesel,Depression, Insomnia, Pain, Lack of Appetite, Fatigue"
Bhang Arjan's Strawberry Haze,sativa,Strawberry,"Happy, Talkative",Dry Mouth,,"Bhang Arjan's Strawberry Haze,Happy, Talkative,Strawberry,"
Bhang Blackberry Kush,indica,"Berry, Grape, Lavender","Relaxed, Happy, Uplifted, Tingly, Focused",Not Available,"Pain, Stress, Fatigue, Headaches, Inflammation","Bhang Blackberry Kush,Relaxed, Happy, Uplifted, Tingly, Focused,Berry, Grape, Lavender,Pain, Stress, Fatigue, Headaches, Inflammation"
Bhang Bubba Kush,indica,Earthy,"Relaxed, Happy, Sleepy",Not Available,,"Bhang Bubba Kush,Relaxed, Happy, Sleepy,Earthy,"
Bhang Cali Orange,hybrid,"Blue Cheese, Flowery, Orange","Relaxed, Euphoric, Happy, Aroused",Dizzy,"Depression, Insomnia, Lack of Appetite","Bhang Cali Orange,Relaxed, Euphoric, Happy, Aroused,Blue Cheese, Flowery, Orange,Depression, Insomnia, Lack of Appetite"
Bhang Casey Jones,sativa,"Ammonia, Chemical, Menthol",,Not Available,"Nausea, Fatigue, Headaches, Eye Pressure, Muscle Spasms","Bhang Casey Jones,,Ammonia, Chemical, Menthol,Nausea, Fatigue, Headaches, Eye Pressure, Muscle Spasms"
Bhang Cheese,hybrid,Cheese,"Relaxed, Focused",Dry Mouth,,"Bhang Cheese,Relaxed, Focused,Cheese,"
Bhang ChemDawg,hybrid,"Earthy, Pungent","Relaxed, Happy, Energetic, Uplifted",Not Available,"Pain, Stress, Nausea, Headaches","Bhang ChemDawg,Relaxed, Happy, Energetic, Uplifted,Earthy, Pungent,Pain, Stress, Nausea, Headaches"
Bhang Cherry Kola,indica,Butter,,"Dizzy, Dry Eyes, Anxious","Pain, Lack of Appetite, Nausea","Bhang Cherry Kola,,Butter,Pain, Lack of Appetite, Nausea"
Bhang Chocolope,sativa,"Coffee, Earthy, Flowery","Euphoric, Happy, Energetic, Uplifted, Giggly",Not Available,"Depression, Stress, Fatigue","Bhang Chocolope,Euphoric, Happy, Energetic, Uplifted, Giggly,Coffee, Earthy, Flowery,Depression, Stress, Fatigue"
Bhang Diablo OG,indica,"Citrus, Earthy, Blueberry","Euphoric, Happy, Creative, Uplifted",Dizzy,"Insomnia, Pain, Stress, Lack of Appetite, Headaches","Bhang Diablo OG,Euphoric, Happy, Creative, Uplifted,Citrus, Earthy, Blueberry,Insomnia, Pain, Stress, Lack of Appetite, Headaches"
Bhang Durban Poison,sativa,"Earthy, Flowery, Pungent","Relaxed, Hungry, Happy, Uplifted, Giggly",Not Available,"Depression, Stress, Fatigue, Headaches, Inflammation","Bhang Durban Poison,Relaxed, Hungry, Happy, Uplifted, Giggly,Earthy, Flowery, Pungent,Depression, Stress, Fatigue, Headaches, Inflammation"
Bhang Dutch Treat,hybrid,"Earthy, Pungent, Woody","Relaxed, Hungry, Uplifted, Focused",Not Available,"Stress, Fatigue, Headaches, Eye Pressure","Bhang Dutch Treat,Relaxed, Hungry, Uplifted, Focused,Earthy, Pungent, Woody,Stress, Fatigue, Headaches, Eye Pressure"
Bhang Girl Scout Cookies,hybrid,"Earthy, Grapefruit, Pine","Relaxed, Euphoric, Creative, Tingly, Focused",Not Available,"Depression, Pain, Stress, Lack of Appetite, Inflammation","Bhang Girl Scout Cookies,Relaxed, Euphoric, Creative, Tingly, Focused,Earthy, Grapefruit, Pine,Depression, Pain, Stress, Lack of Appetite, Inflammation"
Bhang Granddaddy Purple,indica,"Grape, Berry, Woody","Relaxed, Euphoric, Happy, Energetic, Aroused",Dry Mouth,"Insomnia, Pain, Stress, Lack of Appetite, Nausea","Bhang Granddaddy Purple,Relaxed, Euphoric, Happy, Energetic, Aroused,Grape, Berry, Woody,Insomnia, Pain, Stress, Lack of Appetite, Nausea"
Bhang Grape Ape,indica,"Berry, Grape","Euphoric, Focused, Giggly",Dry Eyes,Stress,"Bhang Grape Ape,Euphoric, Focused, Giggly,Berry, Grape,Stress"
Bhang Harlequin,sativa,"Woody, Chestnut, Lemon","Relaxed, Happy, Sleepy, Focused, Giggly",Not Available,"Depression, Headaches","Bhang Harlequin,Relaxed, Happy, Sleepy, Focused, Giggly,Woody, Chestnut, Lemon,Depression, Headaches"
Bhang Hawaiian Haze,sativa,"Flowery, Pungent, Sweet","Relaxed, Hungry, Uplifted, Sleepy, Giggly",Not Available,,"Bhang Hawaiian Haze,Relaxed, Hungry, Uplifted, Sleepy, Giggly,Flowery, Pungent, Sweet,"
Bhang Holy Grail,hybrid,"Grapefruit, Lime, Skunk","Hungry, Euphoric, Happy","Dry Mouth, Dry Eyes","Pain, Stress, Lack of Appetite, Muscle Spasms","Bhang Holy Grail,Hungry, Euphoric, Happy,Grapefruit, Lime, Skunk,Pain, Stress, Lack of Appetite, Muscle Spasms"
Bhang Island Sweet Skunk,sativa,"Skunk, Sweet, Tropical","Happy, Energetic, Uplifted, Tingly, Aroused","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Inflammation","Bhang Island Sweet Skunk,Happy, Energetic, Uplifted, Tingly, Aroused,Skunk, Sweet, Tropical,Depression, Pain, Stress, Fatigue, Inflammation"
Bhang J-1,hybrid,"Blueberry, Citrus, Lemon","Relaxed, Euphoric, Uplifted, Tingly, Focused",Not Available,"Stress, Fatigue","Bhang J-1,Relaxed, Euphoric, Uplifted, Tingly, Focused,Blueberry, Citrus, Lemon,Stress, Fatigue"
Bhang Jack Herer,sativa,"Citrus, Sweet, Tar","Relaxed, Hungry, Euphoric, Happy, Energetic",Not Available,"Depression, Insomnia, Pain, Headaches","Bhang Jack Herer,Relaxed, Hungry, Euphoric, Happy, Energetic,Citrus, Sweet, Tar,Depression, Insomnia, Pain, Headaches"
Bhang Juicy Fruit,hybrid,"Sweet, Citrus, Lemon","Relaxed, Euphoric, Creative, Uplifted",Dry Eyes,"Pain, Stress, Nausea, Headaches","Bhang Juicy Fruit,Relaxed, Euphoric, Creative, Uplifted,Sweet, Citrus, Lemon,Pain, Stress, Nausea, Headaches"
Bhang Kali Mist,sativa,"Berry, Pine, Skunk","Hungry, Euphoric, Happy, Creative, Energetic",Not Available,,"Bhang Kali Mist,Hungry, Euphoric, Happy, Creative, Energetic,Berry, Pine, Skunk,"
Bhang King's Kush,indica,"Berry, Blueberry, Diesel","Relaxed, Uplifted","Dizzy, Dry Mouth, Dry Eyes","Pain, Stress, Lack of Appetite, Muscle Spasms","Bhang King's Kush,Relaxed, Uplifted,Berry, Blueberry, Diesel,Pain, Stress, Lack of Appetite, Muscle Spasms"
Bhang Lavender Kush,indica,"Minty, Sweet, Lavender","Relaxed, Happy, Tingly, Sleepy, Giggly",Dry Mouth,"Depression, Pain, Stress, Cramps, Lack of Appetite","Bhang Lavender Kush,Relaxed, Happy, Tingly, Sleepy, Giggly,Minty, Sweet, Lavender,Depression, Pain, Stress, Cramps, Lack of Appetite"
Bhang Lemon Haze,sativa,"Citrus, Flowery, Lemon","Happy, Energetic, Talkative, Uplifted",Dry Eyes,"Depression, Stress, Cramps, Nausea, Fatigue","Bhang Lemon Haze,Happy, Energetic, Talkative, Uplifted,Citrus, Flowery, Lemon,Depression, Stress, Cramps, Nausea, Fatigue"
Bhang Lemon Skunk,hybrid,Lime,"Relaxed, Hungry, Creative, Uplifted",Not Available,"Depression, Stress, Cramps","Bhang Lemon Skunk,Relaxed, Hungry, Creative, Uplifted,Lime,Depression, Stress, Cramps"
Bhang Mango OG,indica,"Mango, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Sleepy",Not Available,"Depression, Pain, Stress, Lack of Appetite, Nausea","Bhang Mango OG,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Mango, Sweet, Berry,Depression, Pain, Stress, Lack of Appetite, Nausea"
Bhang Master Kush,indica,"Flowery, Earthy, Pepper","Relaxed, Euphoric, Focused","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Inflammation","Bhang Master Kush,Relaxed, Euphoric, Focused,Flowery, Earthy, Pepper,Insomnia, Pain, Stress, Lack of Appetite, Inflammation"
Bhang Maui Waui,sativa,"Earthy, Pungent, Sweet","Relaxed, Hungry, Happy, Creative, Uplifted",Not Available,"Depression, Stress, Cramps, Fatigue, Headaches","Bhang Maui Waui,Relaxed, Hungry, Happy, Creative, Uplifted,Earthy, Pungent, Sweet,Depression, Stress, Cramps, Fatigue, Headaches"
Bhang Mr. Nice,indica,Sweet,"Relaxed, Euphoric, Happy, Tingly, Giggly",Not Available,"Depression, Pain, Stress, Inflammation, Muscle Spasms","Bhang Mr. Nice,Relaxed, Euphoric, Happy, Tingly, Giggly,Sweet,Depression, Pain, Stress, Inflammation, Muscle Spasms"
Bhang Northern Lights,indica,"Earthy, Spicy/Herbal, Woody","Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Muscle Spasms","Bhang Northern Lights,Relaxed, Euphoric, Happy, Creative, Uplifted,Earthy, Spicy/Herbal, Woody,Depression, Insomnia, Stress, Lack of Appetite, Muscle Spasms"
Bhang Ogre,indica,Lemon,"Euphoric, Aroused","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Lack of Appetite, Fatigue, Headaches","Bhang Ogre,Euphoric, Aroused,Lemon,Depression, Insomnia, Lack of Appetite, Fatigue, Headaches"
Bhang Perfecto Hybrid,hybrid,"Citrus, Earthy, Lemon","Relaxed, Euphoric, Happy, Uplifted, Tingly",Not Available,"Depression, Insomnia, Pain, Lack of Appetite, Nausea","Bhang Perfecto Hybrid,Relaxed, Euphoric, Happy, Uplifted, Tingly,Citrus, Earthy, Lemon,Depression, Insomnia, Pain, Lack of Appetite, Nausea"
Bhang Perfecto Indica,indica,"Citrus, Flowery, Tea","Relaxed, Euphoric, Happy, Uplifted, Focused",Not Available,"Depression, Stress, Fatigue","Bhang Perfecto Indica,Relaxed, Euphoric, Happy, Uplifted, Focused,Citrus, Flowery, Tea,Depression, Stress, Fatigue"
Bhang Pineapple Express,hybrid,"Mango, Pineapple, Butter","Relaxed, Happy, Creative, Focused, Giggly",Not Available,"Depression, Stress, Nausea, Seizures, Muscle Spasms","Bhang Pineapple Express,Relaxed, Happy, Creative, Focused, Giggly,Mango, Pineapple, Butter,Depression, Stress, Nausea, Seizures, Muscle Spasms"
Bhang Pineapple Kush,hybrid,"Pine, Pineapple, Tropical","Euphoric, Creative, Energetic, Uplifted, Giggly",Dry Mouth,"Depression, Insomnia, Lack of Appetite, Inflammation, Muscle Spasms","Bhang Pineapple Kush,Euphoric, Creative, Energetic, Uplifted, Giggly,Pine, Pineapple, Tropical,Depression, Insomnia, Lack of Appetite, Inflammation, Muscle Spasms"
